fname time Tem kT_1 A B 
A115K2S16V1 1313358169 0 555 1.018250000E+00 0.000000000E+00 
A115K2S16V2 1313358429 0 555 1.018250000E+00 0.000000000E+00 
A115K2S16V4 1313358661 0 555 1.018251807E+00 2.661898324E-06 
A115K2S250V1 1313360852 0 555 1.018364029E+00 9.476386412E-07 
A115K2S250V2 1313364022 0 555 1.018209988E+00 1.216418772E-06 
A115K2S250V4 1313364253 0 555 1.018184510E+00 1.731943560E-05 
A115K2S32V1 1313359149 0 555 1.018281250E+00 0.000000000E+00 
A115K2S32V2 1313359645 0 555 1.018312500E+00 0.000000000E+00 
A115K2S32V4 1313358836 0 555 1.018254045E+00 4.506078876E-06 
A115K2S475V1 1313365002 0 555 1.018207295E+00 1.358728644E-06 
A115K2S475V2 1313364537 0 555 1.018207945E+00 1.455827370E-06 
A115K2S475V4 1313364806 0 555 1.018236486E+00 1.752537045E-05 
A115K2S64V1 1313359332 0 555 1.018281439E+00 2.320767334E-07 
A115K2S64V2 1313359523 0 555 1.018299632E+00 1.447045152E-06 
A115K2S64V4 1313359972 0 555 1.018306085E+00 5.399750930E-06 
A115K2S860V1 1313366116 0 555 1.018226079E+00 1.170701873E-06 
A115K2S860V2 1313365412 0 555 1.018214336E+00 2.337116270E-06 
A115K2S860V4 1313365649 0 555 1.018189549E+00 2.440770805E-05 
A115K2S8V1 1313357975 0 555 1.018248825E+00 2.979523613E-07 
A115K2S8V2 1313357623 0 555 1.018250000E+00 0.000000000E+00 
A115K2S8V4 1313357448 0 555 1.018207378E+00 3.334456314E-06 
ETCH0FNSNG1 1313366901 0 555 1.015140754E+00 3.216236158E-04 
ETCH0FNSNG2 1313367256 0 555 1.010026696E+00 3.467221972E-05 
ETCH0FNSNG3 1313367690 0 555 1.011639802E+00 2.181794222E-05 
ETCH0FNSNG4 1313368317 0 555 1.012021715E+00 6.112672758E-05 
ETCH0FNSYG1 1313374284 0 555 1.009031385E+00 4.127727004E-06 
ETCH0FNSYG2 1313374479 0 555 1.005444571E+00 2.436202095E-06 
ETCH0FNSYG3 1313374650 0 555 1.007270469E+00 2.313878933E-06 
ETCH0FNSYG4 1313374829 0 555 1.007067430E+00 2.196954697E-06 
ETCH0FYS2YG1 1313556586 0 555 1.009093249E+00 2.318655829E-06 
ETCH0FYS2YG2 1313556808 0 555 1.005118848E+00 1.285413467E-06 
ETCH0FYS2YG3 1313557019 0 555 1.007005281E+00 1.089782854E-06 
ETCH0FYS2YG4 1313557254 0 555 1.006950562E+00 1.038097332E-06 
ETCH0FYS2YOG1 1313559349 0 555 1.009663866E+00 1.875234244E-06 
ETCH0FYS2YOG2 1313559609 0 555 1.005633382E+00 1.208252313E-06 
ETCH0FYS2YOG3 1313559845 0 555 1.007446105E+00 9.879522055E-07 
ETCH0FYS2YOG4 1313560014 0 555 1.007281988E+00 1.245334287E-06 
ETCH0FYSNG1 1313554223 0 555 1.011124682E+00 1.001355474E-04 
ETCH0FYSNG2 1313554720 0 555 1.006840302E+00 1.332884467E-04 
ETCH0FYSNG3 1313554952 0 555 1.007774200E+00 3.520856745E-05 
ETCH0FYSNG4 1313555156 0 555 1.007684937E+00 2.325305324E-05 
ETCH0FYSYG1 1313555496 0 555 1.008508008E+00 2.874258726E-06 
ETCH0FYSYG2 1313555694 0 555 1.004642157E+00 2.138002376E-06 
ETCH0FYSYG3 1313556020 0 555 1.006613439E+00 1.315858328E-06 
ETCH0FYSYG4 1313556258 0 555 1.006617364E+00 1.387685255E-06 
ETCH0FYSYOG1 1313557968 0 555 1.009382472E+00 4.022555477E-06 
ETCH0FYSYOG2 1313558389 0 555 1.005405940E+00 1.569729315E-06 
ETCH0FYSYOG3 1313558793 0 555 1.007236450E+00 1.419024872E-06 
ETCH0FYSYOG4 1313559064 0 555 1.007116762E+00 1.258147967E-06 
ETCH2FNSNG1 1313368691 0 555 1.014333508E+00 2.564128416E-04 
ETCH2FNSNG2 1313369040 0 555 1.009560709E+00 2.860035194E-05 
ETCH2FNSNG3 1313369742 0 555 1.009042310E+00 4.066610189E-05 
ETCH2FNSNG4 1313370369 0 555 1.007720988E+00 1.267173505E-05 
ETCH2FNSYG1 1313373263 0 555 1.008739437E+00 3.786300045E-06 
ETCH2FNSYG2 1313373475 0 555 1.005147600E+00 2.453159513E-06 
ETCH2FNSYG3 1313373747 0 555 1.006968908E+00 2.009216625E-06 
ETCH2FNSYG4 1313373932 0 555 1.006759392E+00 2.164438611E-06 
ETCH2FYSNG1 1313371246 0 555 1.010479384E+00 7.691877330E-05 
ETCH2FYSNG2 1313371588 0 555 1.008945883E+00 1.828878724E-04 
ETCH2FYSNG3 1313371854 0 555 1.007817979E+00 3.345608738E-05 
ETCH2FYSNG4 1313370916 0 555 1.007611155E+00 1.519533753E-05 
ETCH2FYSYG1 1313372283 0 555 1.008368606E+00 2.989240819E-06 
ETCH2FYSYG2 1313372523 0 555 1.004783686E+00 2.104963724E-06 
ETCH2FYSYG3 1313372773 0 555 1.006635748E+00 1.412182301E-06 
ETCH2FYSYG4 1313373020 0 555 1.006428127E+00 1.428149112E-06 
INA1100 1313312193 0 555 1.015883413E+00 3.379911839E-05 
INA140 1313311321 0 555 1.019126140E+00 1.005345964E-04 
INA204 1313311520 0 555 1.017094298E+00 1.077761655E-04 
INA2116 1313312392 0 555 1.015863181E+00 3.219719709E-05 
INA332 1313311761 0 555 1.016742424E+00 6.512669825E-05 
INA4156 1313312561 0 555 1.015874155E+00 3.337240228E-05 
INA558 1313311956 0 555 1.016199275E+00 5.149740577E-05 
INA8244 1313312885 0 555 1.016028343E+00 2.577879695E-05 
MCPCH2R12G1 1313571059 0 555 1.016000000E+00 0.000000000E+00 
MCPCH2R12G2 1313570868 0 555 1.016000000E+00 0.000000000E+00 
MCPCH2R14G1 1313571298 0 555 1.016120000E+00 0.000000000E+00 
MCPCH2R14G2 1313571498 0 555 1.016250000E+00 0.000000000E+00 
MCPCH2R16G1 1313571682 0 555 1.016058620E+00 3.486484977E-07 
MCPCH2R16G2 1313571876 0 555 1.016251875E+00 5.572223927E-07 
MCPCH2R18G1 1313572075 0 555 1.016033768E+00 2.987353140E-07 
MCPCH2R18G2 1313572330 0 555 1.016269978E+00 8.914261857E-08 
MCPCH4R12G1 1313562438 0 555 1.016519544E+00 5.539525254E-06 
MCPCH4R12G2 1313562262 0 555 1.016570033E+00 2.830133364E-05 
MCPCH4R14G1 1313562882 0 555 1.016750000E+00 0.000000000E+00 
MCPCH4R14G2 1313563119 0 555 1.016677346E+00 5.436232648E-06 
MCPCH4R16G1 1313569885 0 555 1.016750000E+00 0.000000000E+00 
MCPCH4R16G2 1313570055 0 555 1.016630000E+00 0.000000000E+00 
MCPCH4R18G1 1313570263 0 555 1.016731897E+00 2.181797509E-07 
MCPCH4R18G2 1313570595 0 555 1.016627924E+00 2.477848316E-07 
V721 1313307396 0 555 1.019289110E+00 6.073631168E-04 
V721_2 1313308231 0 555 1.027642857E+00 5.240887400E-06 
